   X       Y         Z      JointType
-0.3885871 0.3523824 2.028798 9
-0.387298 0.1519832 1.985946 10
-0.4109983 0.1110918 1.982916 11
-0.6563721 0.1332535 2.028045 12
-0.6456746 -0.2141527 2.144219 13
-0.6282113 -0.5324454 2.22311 14
-0.6237341 -0.5954735 2.163441 15
-0.5168188 0.1341582 2.040915 16
-0.5300155 -0.2288793 2.159687 17
-0.5380034 -0.527192 2.235778 18
-0.543323 -0.588428 2.159073 19
-0.5872859 0.6457964 2.01414 20
-0.7802695 0.06983605 1.994035 21
-0.8178308 0.1074743 1.981215 22
-0.4129962 0.02863663 1.990894 23
-0.4467865 0.09272071 1.954459 24
-0.5961599 0.135822 2.067485 0
-0.5920733 0.4311218 2.040393 1
-0.5844701 0.7151799 2.002441 2
-0.5993079 0.8644446 1.999911 3
-0.7490342 0.6068171 2.007539 4
-0.7888103 0.3543222 2.021113 5
-0.7850462 0.1539563 1.979604 6
-0.7731965 0.1179132 1.983372 7
-0.4268894 0.6006675 2.014616 8
-0.3884576 0.3527504 2.02857 9
-0.3865731 0.1523563 1.98567 10
-0.4073346 0.1098422 1.983189 11
-0.65641 0.1332341 2.028027 12
-0.6472432 -0.2175231 2.143818 13
-0.6281614 -0.5322368 2.2226 14
-0.623628 -0.5957301 2.162567 15
-0.5168197 0.1340846 2.04071 16
-0.52977 -0.2288461 2.159402 17
-0.5373242 -0.5213557 2.235142 18
-0.543206 -0.5883554 2.158956 19
-0.5869363 0.6457463 2.013828 20
-0.7835854 0.06654748 1.996311 21
-0.8133849 0.1062453 1.978839 22
-0.4082297 0.02325546 1.993901 23
-0.4459645 0.1048564 1.953915 24
-0.5962388 0.1358112 2.067538 0
-0.5920736 0.4311287 2.040402 1
-0.5844213 0.7152225 2.002454 2
-0.5994079 0.8645253 2.00007 3
-0.7494931 0.6069542 2.008101 4
-0.7885131 0.3540789 2.021027 5
-0.7839022 0.1537176 1.979507 6
-0.7728576 0.1176236 1.984141 7
-0.4268856 0.6006774 2.014658 8
-0.3884201 0.3526706 2.028571 9
-0.3855026 0.1522752 1.985697 10
-0.4035179 0.109198 1.985803 11
-0.656495 0.1331933 2.028139 12
-0.6468894 -0.2162133 2.143215 13
-0.6295367 -0.532007 2.223337 14
-0.6245552 -0.6001533 2.156217 15
-0.5169036 0.1340953 2.040734 16
-0.5301529 -0.2288875 2.159488 17
-0.5368501 -0.5204955 2.235396 18
-0.5457417 -0.5886987 2.159683 19
-0.5869063 0.6457759 2.01384 20
-0.782635 0.06603252 1.998254 21
-0.8130894 0.1122078 1.979569 22
-0.4064706 0.01863604 1.996619 23
-0.4399693 0.1138488 1.956513 24
-0.5962388 0.1358112 2.067538 0
-0.5920736 0.4311287 2.040402 1
-0.5844213 0.7152225 2.002454 2
-0.5994079 0.8645253 2.00007 3
-0.7494931 0.6069542 2.008101 4
-0.7885131 0.3540789 2.021027 5
-0.7839022 0.1537176 1.979507 6
-0.7728576 0.1176236 1.984141 7
-0.4268856 0.6006774 2.014658 8
-0.3884201 0.3526706 2.028571 9
-0.3855026 0.1522752 1.985697 10
-0.4035179 0.109198 1.985803 11
-0.656495 0.1331933 2.028139 12
-0.6468894 -0.2162133 2.143215 13
-0.6295367 -0.532007 2.223337 14
-0.6245552 -0.6001533 2.156217 15
-0.5169036 0.1340953 2.040734 16
-0.5301529 -0.2288875 2.159488 17
-0.5368501 -0.5204955 2.235396 18
-0.5457417 -0.5886987 2.159683 19
-0.5869063 0.6457759 2.01384 20
-0.782635 0.06603252 1.998254 21
-0.8130894 0.1122078 1.979569 22
-0.4064706 0.01863604 1.996619 23
-0.4399693 0.1138488 1.956513 24
-0.5961706 0.1357726 2.067583 0
-0.5918934 0.4312778 2.040766 1
-0.5841074 0.7159134 2.003673 2
-0.5992521 0.8645434 1.999898 3
-0.7498369 0.6071967 2.008717 4
-0.7879385 0.3537649 2.021038 5
-0.7832408 0.1534452 1.97927 6
-0.7725208 0.117322 1.983435 7
-0.4268806 0.6007281 2.01471 8
-0.3870913 0.3525303 2.030799 9
