   X       Y         Z      JointType
-0.4908856 -0.4839778 1.636701 6
-0.4889589 -0.5265251 1.626081 7
-0.08845338 -0.08990628 1.837118 8
-0.03832977 -0.3104177 1.798059 9
0.001717655 -0.4852893 1.694227 10
-0.000709434 -0.5141154 1.664459 11
-0.3408886 -0.5255904 1.684185 12
-0.3289452 -0.8104585 1.656608 13
-0.1969982 -0.5373755 1.703012 16
-0.1871173 -0.8287399 1.659474 17
-0.2533981 -0.02109904 1.821051 20
-0.4846246 -0.6077077 1.605484 21
-0.4369292 -0.5136073 1.637461 22
-0.001940972 -0.5885617 1.656287 23
-0.003097718 -0.5650863 1.682375 24
-0.2750222 -0.5423393 1.727421 0
-0.2640523 -0.2411371 1.786363 1
-0.2513775 0.0496915 1.829269 2
-0.2500345 0.1623287 1.864398 3
-0.4026798 -0.06952704 1.787767 4
-0.4729865 -0.3083501 1.74521 5
-0.4906832 -0.4842105 1.637526 6
-0.4889064 -0.5285223 1.628242 7
-0.0886767 -0.08984575 1.836963 8
-0.03912975 -0.3103795 1.797356 9
0.001015542 -0.4850796 1.693325 10
-0.00481635 -0.5132246 1.663817 11
-0.3416539 -0.5257846 1.684124 12
-0.3290344 -0.8102654 1.656733 13
-0.1976004 -0.5375569 1.702708 16
-0.1888506 -0.8279745 1.658928 17
-0.2548349 -0.02169524 1.820966 20
-0.4840746 -0.6127976 1.607575 21
-0.4307078 -0.5008731 1.64 22
-0.005891193 -0.5887231 1.651559 23
-0.02298869 -0.5411215 1.6961 24
-0.2756808 -0.5425808 1.727117 0
-0.2650614 -0.2418222 1.786069 1
-0.2527755 0.04867102 1.829128 2
-0.2527819 0.1618739 1.864681 3
-0.403172 -0.07002097 1.788148 4
-0.4729456 -0.3082524 1.745399 5
-0.490155 -0.4842536 1.637957 6
-0.4876643 -0.5306986 1.625605 7
-0.08894417 -0.08984541 1.836656 8
-0.0401337 -0.3108429 1.796053 9
0.0003633845 -0.4852558 1.691724 10
-0.005462726 -0.5135431 1.661284 11
-0.3423252 -0.5261155 1.684173 12
-0.3292495 -0.8113788 1.65697 13
-0.1983439 -0.5377395 1.701975 16
-0.1889339 -0.8279204 1.658561 17
