   X       Y         Z      JointType
0.07393635 0.2544268 1.93629 9
0.08760428 0.03520693 1.839733 10
0.09076498 -0.0428886 1.814308 11
-0.1926371 0.01817717 1.867808 12
-0.2098551 -0.3049 1.966374 13
-0.2303888 -0.6255114 2.038838 14
-0.2171254 -0.6679388 1.919903 15
-0.05364671 0.01997337 1.889329 16
-0.06103789 -0.3082256 1.959526 17
-0.06298603 -0.6349195 2.050496 18
-0.05231334 -0.6772124 1.931416 19
-0.1167787 0.5210872 1.851027 20
-0.3811817 -0.08571433 1.835728 21
-0.4024924 -0.01094981 1.834667 22
0.09142406 -0.1060899 1.806281 23
0.08987409 -0.07586589 1.851801 24
-0.1254586 0.01927768 1.912926 0
-0.1207278 0.310296 1.881379 1
-0.115331 0.5891034 1.838109 2
-0.1195809 0.7161 1.862464 3
-0.270857 0.4609077 1.830343 4
-0.3480608 0.2626809 1.911052 5
-0.3761761 0.06612642 1.853891 6
-0.38756 -0.01810845 1.833767 7
0.04032028 0.4842129 1.861801 8
0.0743608 0.253655 1.935876 9
0.09077363 0.04144061 1.841049 10
0.09858075 -0.04174249 1.812012 11
-0.1926638 0.01817376 1.867973 12
-0.2098728 -0.3049138 1.966675 13
-0.2304222 -0.6252319 2.038533 14
-0.2173645 -0.6677538 1.919458 15
-0.05368285 0.01955593 1.890138 16
-0.06074016 -0.308971 1.959671 17
-0.06343028 -0.6355292 2.051149 18
-0.05295834 -0.6779082 1.931932 19
-0.1168029 0.5210649 1.851056 20
-0.3910954 -0.08461685 1.835852 21
-0.4102377 0.007457956 1.843 22
0.09970072 -0.105367 1.808053 23
0.09827591 -0.07194723 1.849909 24
-0.1253117 0.01946531 1.913232 0
-0.1206982 0.310317 1.881478 1
-0.115339 0.5890896 1.838139 2
-0.1200316 0.7161437 1.862308 3
-0.2708319 0.4609604 1.830371 4
-0.3508534 0.2653857 1.913459 5
-0.381617 0.07061154 1.856259 6
-0.3992189 -0.01460938 1.833038 7
0.04039234 0.4843751 1.861962 8
0.07572977 0.2541386 1.93505 9
0.09580803 0.03936633 1.839496 10
0.108995 -0.04096746 1.807809 11
-0.1925387 0.01827829 1.868214 12
-0.2100127 -0.3040498 1.965667 13
-0.2303509 -0.6249343 2.038257 14
-0.2172516 -0.6674704 1.91919 15
-0.05353549 0.01984474 1.890478 16
-0.06168988 -0.3062598 1.956166 17
-0.06349303 -0.6359257 2.051341 18
-0.05297833 -0.6783112 1.932134 19
-0.1168048 0.5210577 1.851089 20
-0.4047844 -0.08195005 1.834849 21
-0.4071951 -0.04718539 1.843 22
0.1128996 -0.1040907 1.801108 23
0.1107534 -0.067592 1.852667 24
-0.1253117 0.01946531 1.913232 0
-0.1206982 0.310317 1.881478 1
-0.115339 0.5890896 1.838139 2
-0.1200316 0.7161437 1.862308 3
-0.2708319 0.4609604 1.830371 4
-0.3508534 0.2653857 1.913459 5
-0.381617 0.07061154 1.856259 6
-0.3992189 -0.01460938 1.833038 7
0.04039234 0.4843751 1.861962 8
0.07572977 0.2541386 1.93505 9
0.09580803 0.03936633 1.839496 10
0.108995 -0.04096746 1.807809 11
-0.1925387 0.01827829 1.868214 12
-0.2100127 -0.3040498 1.965667 13
-0.2303509 -0.6249343 2.038257 14
-0.2172516 -0.6674704 1.91919 15
-0.05353549 0.01984474 1.890478 16
-0.06168988 -0.3062598 1.956166 17
-0.06349303 -0.6359257 2.051341 18
-0.05297833 -0.6783112 1.932134 19
-0.1168048 0.5210577 1.851089 20
-0.4047844 -0.08195005 1.834849 21
-0.4071951 -0.04718539 1.843 22
0.1128996 -0.1040907 1.801108 23
0.1107534 -0.067592 1.852667 24
-0.1253117 0.01946531 1.913232 0
-0.1206982 0.310317 1.881478 1
-0.115339 0.5890896 1.838139 2
-0.1200316 0.7161437 1.862308 3
-0.2708319 0.4609604 1.830371 4
-0.3508534 0.2653857 1.913459 5
-0.381617 0.07061154 1.856259 6
-0.3992189 -0.01460938 1.833038 7
0.04039234 0.4843751 1.861962 8
0.07572977 0.2541386 1.93505 9
0.09580803 0.03936633 1.839496 10
0.108995 -0.04096746 1.807809 11
-0.1925387 0.01827829 1.868214 12
-0.2100127 -0.3040498 1.965667 13
-0.2303509 -0.6249343 2.038257 14
-0.2172516 -0.6674704 1.91919 15
-0.05353549 0.01984474 1.890478 16
-0.06168988 -0.3062598 1.956166 17
-0.06349303 -0.6359257 2.051341 18
-0.05297833 -0.6783112 1.932134 19
-0.1168048 0.5210577 1.851089 20
-0.4047844 -0.08195005 1.834849 21
-0.4071951 -0.04718539 1.843 22
0.1128996 -0.1040907 1.801108 23
0.1107534 -0.067592 1.852667 24
-0.1253117 0.01946531 1.913232 0
-0.1206982 0.310317 1.881478 1
-0.115339 0.5890896 1.838139 2
-0.1200316 0.7161437 1.862308 3
-0.2708319 0.4609604 1.830371 4
-0.3508534 0.2653857 1.913459 5
-0.381617 0.07061154 1.856259 6
-0.3992189 -0.01460938 1.833038 7
0.04039234 0.4843751 1.861962 8
0.07572977 0.2541386 1.93505 9
0.09580803 0.03936633 1.839496 10
0.108995 -0.04096746 1.807809 11
-0.1925387 0.01827829 1.868214 12
-0.2100127 -0.3040498 1.965667 13
-0.2303509 -0.6249343 2.038257 14
-0.2172516 -0.6674704 1.91919 15
-0.05353549 0.01984474 1.890478 16
-0.06168988 -0.3062598 1.956166 17
-0.06349303 -0.6359257 2.051341 18
-0.05297833 -0.6783112 1.932134 19
-0.1168048 0.5210577 1.851089 20
-0.4047844 -0.08195005 1.834849 21
-0.4071951 -0.04718539 1.843 22
0.1128996 -0.1040907 1.801108 23
0.1107534 -0.067592 1.852667 24
-0.1253117 0.01946531 1.913232 0
-0.1206982 0.310317 1.881478 1
-0.115339 0.5890896 1.838139 2
-0.1200316 0.7161437 1.862308 3
-0.2708319 0.4609604 1.830371 4
-0.3508534 0.2653857 1.913459 5
-0.381617 0.07061154 1.856259 6
-0.3992189 -0.01460938 1.833038 7
0.04039234 0.4843751 1.861962 8
0.07572977 0.2541386 1.93505 9
0.09580803 0.03936633 1.839496 10
0.108995 -0.04096746 1.807809 11
-0.1925387 0.01827829 1.868214 12
-0.2100127 -0.3040498 1.965667 13
-0.2303509 -0.6249343 2.038257 14
-0.2172516 -0.6674704 1.91919 15
-0.05353549 0.01984474 1.890478 16
-0.06168988 -0.3062598 1.956166 17
-0.06349303 -0.6359257 2.051341 18
-0.05297833 -0.6783112 1.932134 19
-0.1168048 0.5210577 1.851089 20
-0.4047844 -0.08195005 1.834849 21
-0.4071951 -0.04718539 1.843 22
0.1128996 -0.1040907 1.801108 23
0.1107534 -0.067592 1.852667 24
-0.1265628 0.01933479 1.914584 0
-0.1212873 0.311087 1.885336 1
-0.1150917 0.591104 1.848855 2
-0.1207832 0.716159 1.862201 3
-0.2692206 0.4612692 1.832585 4
-0.3614578 0.276085 1.915968 5
-0.4188095 0.0865954 1.861484 6
-0.4480605 -0.002738794 1.834598 7
0.0334576 0.4903762 1.871216 8
0.08730111 0.2634082 1.927566 9
0.1344208 0.05001556 1.83349 10
0.1581272 -0.02464015 1.795618 11
-0.1941548 0.01791844 1.870645 12
-0.2103684 -0.3034885 1.965346 13
-0.230314 -0.6252506 2.038173 14
-0.2147923 -0.667471 1.918899 15
-0.05446478 0.01990541 1.891012 16
